WeightingMethod,Seed,Vertices,Sparsity,WeightMin,WeightMax,NrOfCliques,SizeOfClique,NrOfCommRounds,TotalTime,RoundTimes1,RoundTimes2,RoundTimes3
INCIDENT_EDGES_THE_SAME_REVERSED,100,500,0.4,1,100,200,5,2,34.07,28.02,5.85,
INCIDENT_EDGES_THE_SAME_REVERSED,100,500,0.6,1,100,0,0,2,73.9,67.9,5.89,
INCIDENT_EDGES_THE_SAME_REVERSED,100,500,0.6,1,100,50,5,2,76.4,70.45,5.81,
INCIDENT_EDGES_THE_SAME_REVERSED,100,500,0.6,1,100,100,5,2,74.46,68.33,5.99,
INCIDENT_EDGES_THE_SAME_REVERSED,100,500,0.6,1,100,200,5,2,76.69,70.53,5.93,
INCIDENT_EDGES_THE_SAME_REVERSED,100,500,0.8,1,100,0,0,3,162.68,150.82,5.99,5.73
INCIDENT_EDGES_THE_SAME_REVERSED,100,500,0.8,1,100,50,5,3,165.57,153.8,5.86,5.77
INCIDENT_EDGES_THE_SAME_REVERSED,100,500,0.8,1,100,100,5,3,163.11,151.35,5.89,5.72
INCIDENT_EDGES_THE_SAME_REVERSED,100,500,0.8,1,100,200,5,2,161.99,155.8,5.92,
INCIDENT_EDGES_THE_SAME_REVERSED,100,500,1,1,100,0,0,3,296.21,284.32,6.01,5.7
INCIDENT_EDGES_THE_SAME_REVERSED,100,500,1,1,100,50,5,3,297.05,285.17,6.01,5.67
INCIDENT_EDGES_THE_SAME_REVERSED,100,500,1,1,100,100,5,3,293.42,281.38,6.09,5.75
INCIDENT_EDGES_THE_SAME_REVERSED,100,500,1,1,100,200,5,2,287.23,281,5.93,
UNIQUE,101,500,0.2,1,100,0,0,2,16.6,10.73,5.83,
UNIQUE,101,500,0.2,1,100,50,5,2,16.64,10.78,5.82,
UNIQUE,101,500,0.2,1,100,100,5,2,16.6,10.72,5.82,
UNIQUE,101,500,0.2,1,100,200,5,2,16.89,11.01,5.74,
UNIQUE,101,500,0.4,1,100,0,0,2,33.19,27.3,5.81,
UNIQUE,101,500,0.4,1,100,50,5,2,33.58,27.62,5.88,
UNIQUE,101,500,0.4,1,100,100,5,2,33.76,27.71,5.96,
UNIQUE,101,500,0.4,1,100,200,5,2,34.53,28.5,5.84,
UNIQUE,101,500,0.6,1,100,0,0,2,73.96,67.87,5.98,
UNIQUE,101,500,0.6,1,100,50,5,2,74.48,68.46,5.92,
UNIQUE,101,500,0.6,1,100,100,5,2,74.78,68.76,5.88,
UNIQUE,101,500,0.6,1,100,200,5,2,75.56,69.38,5.99,
UNIQUE,101,500,0.8,1,100,0,0,3,158.92,147.11,5.97,5.7
UNIQUE,101,500,0.8,1,100,50,5,3,163.76,151.86,5.92,5.83
UNIQUE,101,500,0.8,1,100,100,5,3,163.54,151.69,5.87,5.81
UNIQUE,101,500,0.8,1,100,200,5,2,158.58,152.37,6,
UNIQUE,101,500,1,1,100,0,0,3,282.33,270.46,6.05,5.63
UNIQUE,101,500,1,1,100,50,5,3,285.56,273.56,6.08,5.74
UNIQUE,101,500,1,1,100,100,5,3,286.68,274.91,5.87,5.72
UNIQUE,101,500,1,1,100,200,5,2,283.5,277.29,5.99,
UNIQUE_REVERSED,101,500,0.2,1,100,0,0,2,39.48,33.58,5.86,
UNIQUE_REVERSED,101,500,0.2,1,100,50,5,2,16.52,10.58,5.91,
UNIQUE_REVERSED,101,500,0.2,1,100,100,5,2,16.55,10.7,5.79,
UNIQUE_REVERSED,101,500,0.2,1,100,200,5,2,16.83,10.92,5.76,
UNIQUE_REVERSED,101,500,0.4,1,100,0,0,2,32.87,27.04,5.76,
UNIQUE_REVERSED,101,500,0.4,1,100,50,5,2,33.19,27.12,5.99,
UNIQUE_REVERSED,101,500,0.4,1,100,100,5,2,32.37,26.34,5.94,
UNIQUE_REVERSED,101,500,0.4,1,100,200,5,2,34.06,28.14,5.75,
UNIQUE_REVERSED,101,500,0.6,1,100,0,0,2,67.1,61.24,5.75,
UNIQUE_REVERSED,101,500,0.6,1,100,50,5,2,86.65,79.55,6.99,
UNIQUE_REVERSED,101,500,0.6,1,100,100,5,2,83.12,76.8,6.19,
UNIQUE_REVERSED,101,500,0.6,1,100,200,5,2,97.31,90.71,6.38,
