SamplingMethod,DatasetType,NrOfPoints,Seed,SampleSize,TotalTime,RoundTimes,CoresetSize,AvgQuality,NormQuality
Ball,Blobs,1000000,100,1000.0,752.47,"[9.93, 7.53, 7.18, 7.26]",2002,32.97811589712129,32.96811349543684
Ball,Blobs,1000000,100,10000.0,753.07,"[10.08, 8.18, 7.88, 7.41]",55627,33.08345479308501,30.42412801040648
Ball,Blobs,1000000,100,100000.0,767.83,"[10.13, 9.33, 10.28, 14.51]",833925,33.305251658908254,0.9254534014160892
Grid,Aniso,1000000,100,0,753.72,"[10.05, 7.86, 7.3, 7.19]",8,12.692148866701485,11.269068939021768
Ball,Aniso,1000000,100,100.0,755.76,"[9.37, 7.84, 7.23, 7.14]",101,12.097058135447002,4.075691141778349
Ball,Aniso,1000000,100,1000.0,756.58,"[9.58, 7.93, 7.28, 7.18]",2000,9.576521765740798,8.785979947341783
Ball,Aniso,1000000,100,10000.0,760.46,"[9.54, 9.0, 8.44, 7.86]",221960,10.022072369944654,5.562591330506439
Ball,Aniso,1000000,100,100000.0,851.66,"[22.33, 26.01, 20.63, 25.61]",978187,9.036474041010841,8.478846788518995
Grid,varied,1000000,100,0,1382.11,"[16.05, 16.19, 12.23, 14.21]",7316,17.325831885004273,0.4460270599579745
Ball,varied,1000000,100,100.0,1370.0,"[14.92, 14.91, 12.18, 12.11]",5314,20.529309658309984,16.542125619470415
Ball,varied,1000000,100,1000.0,1339.78,"[17.06, 12.07, 14.05, 10.35]",31871,20.22598730966861,13.344281554156417
Ball,varied,1000000,100,10000.0,1429.7,"[16.47, 12.96, 16.35, 15.65]",409137,17.667976039563573,9.301123164788015
Ball,varied,1000000,100,100000.0,1081.04,"[10.68, 10.07, 11.34, 15.67]",1000000,17.261500447514184,13.676251913296168
Grid,Gaussian quantile,1000000,100,0,1006.37,"[15.8, 13.34, 11.49, 11.16]",136,3.9150940707762527,2.5761434906200775
Ball,Gaussian quantile,1000000,100,100.0,929.23,"[11.71, 10.51, 9.18, 9.2]",240,8.213414365780592,4.9407117428002545
Ball,Gaussian quantile,1000000,100,1000.0,935.89,"[10.4, 8.79, 9.56, 8.92]",3438,7.228076503621447,5.220937245093289
Ball,Gaussian quantile,1000000,100,10000.0,968.35,"[11.88, 12.51, 10.2, 11.84]",194003,5.153689162278821,3.76073744991181
Ball,Gaussian quantile,1000000,100,100000.0,1083.83,"[14.08, 13.06, 14.37, 19.6]",936204,4.86933873131385,0.9393665218021778
Grid,Noisy circle,200000,101,0,51.63,"[11.71, 11.05, 9.99, 11.59]",4,2.2059618429986876,2.098710312084982
Ball,Noisy circle,200000,101,20.0,50.14,"[10.53, 11.87, 10.08, 10.05]",21,1.7613677212422354,1.3558889034239743
Ball,Noisy circle,200000,101,200.0,52.48,"[10.59, 10.47, 11.41, 9.97]",201,1.8385394557730654,1.3005060964378596
Ball,Noisy circle,200000,101,2000.0,53.69,"[11.98, 11.19, 12.18, 10.65]",4008,1.5360928250635795,1.1583129676323427
Ball,Noisy circle,200000,101,20000.0,56.33,"[13.84, 11.53, 11.43, 10.37]",135097,1.4158932850014976,1.2252787865683672
Grid,Noisy moon,200000,101,0,53.02,"[12.54, 10.49, 10.11, 12.12]",3,2.838896044654591,2.2992430913056787
Ball,Noisy moon,200000,101,20.0,56.33,"[10.86, 11.86, 10.18, 15.89]",21,2.1626039757807094,2.399118034707325
Ball,Noisy moon,200000,101,200.0,78.93,"[15.84, 19.84, 19.07, 13.38]",201,2.7800456749050886,2.949498127106788
Ball,Noisy moon,200000,101,2000.0,80.65,"[18.23, 18.83, 15.5, 14.28]",4004,1.6691573136943436,2.1183707857872776
Ball,Noisy moon,200000,101,20000.0,76.01,"[14.3, 12.02, 15.54, 17.32]",152296,2.0432257263904456,2.397339924924617
Grid,Blobs,200000,101,0,62.84,"[16.25, 11.56, 14.04, 11.43]",4,35.81697813082679,5.95214098055233
Ball,Blobs,200000,101,20.0,75.15,"[14.8, 12.45, 20.74, 17.17]",21,34.415675923206784,13.177494366766318
Ball,Blobs,200000,101,200.0,95.21,"[16.05, 13.62, 14.96, 9.58]",402,33.07842353326027,22.52251153398167
Ball,Blobs,200000,101,2000.0,52.62,"[9.23, 8.97, 14.08, 11.86]",9881,33.1534265571483,1.1889877374627826
Ball,Blobs,200000,101,20000.0,73.03,"[15.26, 18.63, 16.9, 13.04]",177742,31.992617196814503,0.8611851668107756
Grid,Aniso,200000,101,0,61.15,"[15.03, 15.55, 13.22, 10.86]",11,12.448479715027355,6.87763751248985
Ball,Aniso,200000,101,20.0,59.17,"[11.74, 11.55, 12.32, 10.93]",22,12.323845133663236,11.072781482747848
Ball,Aniso,200000,101,200.0,64.39,"[13.1, 13.12, 12.23, 11.27]",400,11.543039289272476,4.604725817648537
Ball,Aniso,200000,101,2000.0,70.7,"[17.96, 16.66, 11.8, 13.16]",20305,9.081505494775007,1.145843206320796
Ball,Aniso,200000,101,20000.0,64.07,"[14.07, 13.14, 14.57, 13.3]",178556,8.880889094910506,7.850473180886215
Grid,varied,200000,101,0,70.43,"[13.89, 14.77, 11.95, 13.7]",379,17.015717107569525,15.122584117693187
Ball,varied,200000,101,20.0,66.68,"[12.89, 14.6, 12.91, 14.4]",162,21.19763689330488,16.774067043578825
Ball,varied,200000,101,200.0,67.99,"[15.63, 12.03, 16.23, 12.36]",3014,19.66862311497654,11.260990059863417
Ball,varied,200000,101,2000.0,63.37,"[13.36, 11.8, 13.36, 11.22]",77669,17.438184934773563,10.631971833763695
Ball,varied,200000,101,20000.0,70.28,"[12.89, 16.82, 12.02, 15.09]",200000,17.807482847732814,9.534390470480599
Grid,Gaussian quantile,200000,101,0,72.03,"[14.63, 13.09, 18.02, 12.56]",71,4.329041119564287,2.7910539421437335
Ball,Gaussian quantile,200000,101,20.0,53.58,"[12.11, 9.76, 8.09, 8.38]",21,8.626829601990627,4.617021647954706
Ball,Gaussian quantile,200000,101,200.0,39.3,"[9.26, 8.01, 8.0, 8.68]",424,7.038203675852298,4.0752367615031835
Ball,Gaussian quantile,200000,101,2000.0,51.31,"[10.75, 11.44, 9.24, 13.97]",21710,5.41896801970616,2.176811210009294
Ball,Gaussian quantile,200000,101,20000.0,47.33,"[10.1, 10.47, 9.06, 8.75]",183403,4.802732173591853,2.945913723759524
Grid,Noisy circle,1000000,101,0,1291.21,"[16.35, 14.38, 11.11, 10.68]",5,1.922412222457027,1.6752175090896355
Ball,Noisy circle,1000000,101,100.0,1085.59,"[11.58, 9.52, 9.04, 9.09]",101,1.9543205905638565,1.124719838205016
Ball,Noisy circle,1000000,101,1000.0,777.44,"[9.49, 7.82, 7.57, 7.26]",1001,1.7630900259362123,0.9411928772981176
Ball,Noisy circle,1000000,101,10000.0,757.18,"[9.89, 8.27, 7.95, 7.51]",27936,1.3972523850061398,1.6170817544717988
