SamplingMethod,DatasetType,NrOfPoints,Seed,SampleSize,TotalTime,RoundTimes,CoresetSize,AvgQuality,NormQuality
Ball,Noisy circle,10000,106,10.0,42.04,"[11.67, 10.61, 9.38, 10.12]",11,1.7523398554321186,1.6300360836547763
Ball,Noisy circle,10000,106,100.0,43.36,"[9.3, 11.4, 11.81, 10.51]",101,1.5544908454862467,0.7577585824057169
Ball,Noisy circle,10000,106,1000.0,43.85,"[10.31, 11.17, 11.84, 10.28]",5624,1.4914592424141153,0.9658922288530437
Grid,Noisy moon,10000,106,0,40.13,"[11.48, 8.75, 8.59, 11.0]",5,2.3266433060661607,1.034524227341379
Ball,Noisy moon,10000,106,10.0,42.38,"[11.84, 9.86, 9.72, 10.69]",11,1.8812810251168202,0.3684411384557685
Ball,Noisy moon,10000,106,100.0,40.57,"[9.78, 10.06, 10.76, 9.7]",164,1.930248403698576,0.34017857613858243
Ball,Noisy moon,10000,106,1000.0,45.34,"[10.73, 11.49, 13.27, 9.58]",6014,1.915783148718746,2.2510091511461288
Grid,Blobs,10000,106,0,41.96,"[10.28, 10.95, 11.21, 9.24]",65,32.89590661164744,12.369465991770294
Ball,Blobs,10000,106,10.0,39.43,"[11.09, 9.64, 9.01, 9.44]",12,34.00801813013926,13.233209397826236
Ball,Blobs,10000,106,100.0,42.48,"[10.29, 11.0, 11.46, 9.45]",337,32.424317056017905,29.375985631236365
Ball,Blobs,10000,106,1000.0,41.02,"[10.62, 10.06, 10.07, 9.98]",8424,32.90008015160024,12.948396355004677
Grid,Aniso,10000,106,0,40.65,"[11.12, 10.0, 9.21, 10.04]",57,8.361876471935025,3.311655192989882
Ball,Aniso,10000,106,10.0,42.66,"[10.52, 9.95, 10.23, 11.66]",18,11.090429120919765,5.555587073456156
Ball,Aniso,10000,106,100.0,50.4,"[11.88, 11.06, 11.49, 15.69]",517,9.967089681297653,8.771174918682174
Ball,Aniso,10000,106,1000.0,56.67,"[14.54, 15.26, 11.83, 14.73]",9163,9.00014232336809,1.4750676450507558
Grid,varied,10000,106,0,58.55,"[13.03, 17.84, 14.24, 13.17]",493,17.200482643337743,9.931669001401133
Ball,varied,10000,106,10.0,43.0,"[11.13, 10.81, 10.1, 10.69]",29,20.975733638300433,16.063912851002527
Ball,varied,10000,106,100.0,46.75,"[10.96, 12.49, 11.82, 11.2]",2194,18.944344643778678,16.900369351323583
Ball,varied,10000,106,1000.0,41.02,"[10.25, 10.3, 10.24, 9.95]",9506,17.612700115239825,15.415011985255926
Grid,Gaussian quantile,10000,106,0,47.66,"[12.0, 12.31, 12.3, 10.73]",233,3.74730408398532,0.27927767687803057
Ball,Gaussian quantile,10000,106,10.0,44.69,"[11.73, 11.01, 10.33, 11.32]",11,10.010445991400392,6.098866028575494
Ball,Gaussian quantile,10000,106,100.0,40.27,"[9.98, 10.22, 9.88, 9.88]",586,5.853450124719452,2.850937594452119
Ball,Gaussian quantile,10000,106,1000.0,39.41,"[10.14, 9.55, 9.6, 9.86]",8462,4.895731366531058,4.16800885670299
Grid,Noisy circle,1500,100,0,52.94,"[11.24, 8.01, 8.06, 7.83]",41,1.2936371289359758,0.5503427355167905
Ball,Noisy circle,1500,100,1.5,36.69,"[8.39, 10.0, 8.52, 9.57]",7,1.674172217183115,1.65932080267989
Ball,Noisy circle,1500,100,15.0,34.63,"[8.6, 9.17, 8.72, 7.92]",23,1.5975689119600842,1.48438413387837
Ball,Noisy circle,1500,100,150.0,33.85,"[7.76, 8.61, 8.98, 8.27]",748,1.3367840747756654,1.5273357099144766
Grid,Noisy moon,1500,100,0,33.96,"[9.07, 7.87, 8.1, 8.7]",24,1.5676476631780063,2.1228917995838814
Ball,Noisy moon,1500,100,1.5,33.65,"[8.5, 7.72, 8.28, 8.96]",4,2.4867288931234794,0.9246163505847524
Ball,Noisy moon,1500,100,15.0,34.3,"[8.91, 8.25, 8.2, 8.77]",17,2.1046340512806707,0.4280590532053358
Ball,Noisy moon,1500,100,150.0,32.11,"[8.09, 7.79, 7.86, 8.21]",868,2.1968173217572344,2.630529865519568
Grid,Blobs,1500,100,0,34.56,"[8.35, 8.64, 8.43, 8.98]",162,32.3474506735922,29.79267547693764
Ball,Blobs,1500,100,1.5,38.12,"[9.97, 12.01, 8.07, 7.9]",4,31.96661850302246,3.8805371792013985
Ball,Blobs,1500,100,15.0,32.09,"[8.08, 8.05, 8.14, 7.64]",62,34.32000592831832,13.227862839061741
Ball,Blobs,1500,100,150.0,29.65,"[7.34, 7.39, 7.41, 7.34]",900,32.867184671623505,12.095266287196255
Grid,Aniso,1500,100,0,29.61,"[7.29, 7.36, 7.43, 7.37]",133,8.133570163648459,0.3472273353246725
Ball,Aniso,1500,100,1.5,29.73,"[7.29, 7.41, 7.47, 7.38]",3,9.244372514150088,5.332735840423812
Ball,Aniso,1500,100,15.0,29.97,"[7.47, 7.44, 7.44, 7.44]",58,10.02030542043222,2.171091157924098
Ball,Aniso,1500,100,150.0,29.42,"[7.26, 7.37, 7.3, 7.3]",1358,8.912441196643174,7.361783757869859
Grid,varied,1500,100,0,29.67,"[7.34, 7.39, 7.42, 7.35]",433,17.01555206985718,9.456143950119273
Ball,varied,1500,100,1.5,29.69,"[7.43, 7.36, 7.36, 7.37]",4,24.932768368329732,16.222626118042104
Ball,varied,1500,100,15.0,29.65,"[7.35, 7.39, 7.38, 7.36]",138,19.055327686737495,11.238488625538574
Ball,varied,1500,100,150.0,29.48,"[7.22, 7.4, 7.38, 7.31]",1500,17.270020489645315,15.277809898076868
Grid,Gaussian quantile,1500,100,0,29.64,"[7.41, 7.34, 7.41, 7.33]",303,4.072114807940232,2.2390748666373694
Ball,Gaussian quantile,1500,100,1.5,29.72,"[7.37, 7.47, 7.38, 7.34]",7,8.458413665338417,4.794534576683315
Ball,Gaussian quantile,1500,100,15.0,29.5,"[7.35, 7.34, 7.3, 7.34]",83,8.673768739271166,3.790695579329156
Ball,Gaussian quantile,1500,100,150.0,29.98,"[7.44, 7.56, 7.41, 7.41]",1009,5.2091612476788915,1.1266719511989132
Grid,Noisy circle,10000,100,0,29.8,"[7.45, 7.42, 7.41, 7.26]",7,1.870652664809592,0.7668523592028522
Ball,Noisy circle,10000,100,10.0,29.43,"[7.33, 7.3, 7.3, 7.26]",11,1.829659540471163,0.9217173274704814
Ball,Noisy circle,10000,100,100.0,29.7,"[7.31, 7.46, 7.41, 7.28]",104,1.6027751074045757,1.3370624788477505
Ball,Noisy circle,10000,100,1000.0,29.63,"[7.3, 7.4, 7.32, 7.41]",6934,1.6213852493639813,0.8980577840963004
Grid,Noisy moon,10000,100,0,29.96,"[7.44, 7.45, 7.31, 7.51]",5,2.3451982810209095,2.3628760259162873
Ball,Noisy moon,10000,100,10.0,29.77,"[7.39, 7.46, 7.31, 7.33]",11,2.0950492664497946,2.4389840895892982
Ball,Noisy moon,10000,100,100.0,29.75,"[7.42, 7.36, 7.4, 7.34]",101,1.8057758744845138,2.2054484759922057
Ball,Noisy moon,10000,100,1000.0,29.56,"[7.25, 7.35, 7.22, 7.51]",7090,1.8134531474772801,0.42574193276138356
Grid,Blobs,10000,100,0,30.01,"[7.47, 7.52, 7.31, 7.47]",60,32.60222394350354,12.611820094999679
Ball,Blobs,10000,100,10.0,29.63,"[7.3, 7.41, 7.32, 7.38]",11,33.46225690087365,29.348661149778643
Ball,Blobs,10000,100,100.0,29.43,"[7.31, 7.26, 7.26, 7.36]",306,32.93958730749779,13.15250824129694
Ball,Blobs,10000,100,1000.0,29.65,"[7.36, 7.3, 7.29, 7.47]",7633,32.48732809465141,0.784936545393259
Grid,Aniso,10000,100,0,29.6,"[7.37, 7.35, 7.25, 7.4]",53,8.294736830372019,8.256222189437825
Ball,Aniso,10000,100,10.0,29.62,"[7.45, 7.39, 7.25, 7.3]",11,13.047550892241505,11.423832155175855
Ball,Aniso,10000,100,100.0,29.34,"[7.23, 7.23, 7.29, 7.34]",654,10.629853679833905,9.029423606658293
Ball,Aniso,10000,100,1000.0,29.84,"[7.5, 7.33, 7.46, 7.33]",9620,9.291800876637716,1.7125488742795785
Grid,varied,10000,100,0,29.68,"[7.46, 7.46, 7.24, 7.29]",486,17.199690440377562,9.965896344613673
Ball,varied,10000,100,10.0,29.77,"[7.47, 7.39, 7.28, 7.38]",26,19.367658815351568,15.106570759626202
Ball,varied,10000,100,100.0,29.41,"[7.35, 7.25, 7.29, 7.29]",1960,17.474204182084048,2.46912991898823
Ball,varied,10000,100,1000.0,29.61,"[7.45, 7.22, 7.43, 7.28]",9624,18.08358192340853,10.625728037344633
Grid,Gaussian quantile,10000,100,0,29.45,"[7.41, 7.38, 7.22, 7.21]",286,4.055170033464724,3.5112899793263943
Ball,Gaussian quantile,10000,100,10.0,29.57,"[7.26, 7.35, 7.28, 7.45]",11,8.050878954647045,5.291489699477519
Ball,Gaussian quantile,10000,100,100.0,29.7,"[7.43, 7.31, 7.37, 7.35]",676,5.7658080926061075,3.469788659576301
Ball,Gaussian quantile,10000,100,1000.0,30.61,"[7.28, 8.14, 7.4, 7.55]",9164,5.286983473007861,3.298607158305484
Grid,Noisy circle,1500,101,0,29.53,"[7.36, 7.3, 7.36, 7.37]",45,1.4012042001927205,0.9489382366222181
Ball,Noisy circle,1500,101,1.5,29.54,"[7.3, 7.33, 7.32, 7.44]",6,1.9395636495451556,1.1031767525066016
Ball,Noisy circle,1500,101,15.0,29.49,"[7.3, 7.27, 7.34, 7.42]",16,1.860061567329049,1.1987850693311566
Ball,Noisy circle,1500,101,150.0,29.5,"[7.24, 7.36, 7.36, 7.38]",731,1.431072049774006,0.43664084863355346
Grid,Noisy moon,1500,101,0,29.56,"[7.35, 7.43, 7.38, 7.26]",18,1.7589058347584663,2.1615705341700453
Ball,Noisy moon,1500,101,1.5,29.43,"[7.25, 7.31, 7.37, 7.35]",7,2.394220064783249,0.7003477309518814
Ball,Noisy moon,1500,101,15.0,29.51,"[7.42, 7.28, 7.32, 7.34]",16,2.098096428557092,0.662002497935256
Ball,Noisy moon,1500,101,150.0,29.56,"[7.26, 7.46, 7.42, 7.26]",738,1.720858565466545,0.3589638665808971
Grid,Blobs,1500,101,0,29.58,"[7.24, 7.44, 7.39, 7.37]",156,32.269577524240326,23.37861536648118
Ball,Blobs,1500,101,1.5,29.28,"[7.27, 7.3, 7.36, 7.19]",6,36.47155110761663,10.585903753795062
Ball,Blobs,1500,101,15.0,29.63,"[7.2, 7.28, 7.73, 7.26]",58,33.11315233117059,29.079199633748505
Ball,Blobs,1500,101,150.0,30.43,"[7.32, 7.34, 7.38, 8.24]",985,33.11131693431325,29.135795088120442
Grid,Aniso,1500,101,0,31.18,"[7.59, 7.59, 7.63, 8.2]",129,8.017514078154381,3.2512570619480625
Ball,Aniso,1500,101,1.5,29.59,"[7.37, 7.38, 7.22, 7.47]",3,10.760952470227098,6.011454307913137
Ball,Aniso,1500,101,15.0,29.94,"[7.53, 7.44, 7.52, 7.29]",116,11.074773941414888,9.615162273580058
Ball,Aniso,1500,101,150.0,29.4,"[7.28, 7.36, 7.28, 7.33]",1244,11.021217615332967,10.267142478546665
Grid,varied,1500,101,0,29.52,"[7.33, 7.31, 7.43, 7.3]",402,17.124107686406855,15.37404034375873
Ball,varied,1500,101,1.5,29.24,"[7.26, 7.27, 7.27, 7.28]",3,22.90256587457922,20.700664280632274
Ball,varied,1500,101,15.0,29.5,"[7.35, 7.36, 7.34, 7.3]",183,19.510973734101572,10.271597183889568
Ball,varied,1500,101,150.0,29.43,"[7.37, 7.3, 7.32, 7.27]",1491,18.24580955646892,17.5463948261157
Grid,Gaussian quantile,1500,101,0,29.47,"[7.41, 7.32, 7.37, 7.22]",266,3.6653344288107896,3.0869026276869946
Ball,Gaussian quantile,1500,101,1.5,29.43,"[7.29, 7.39, 7.29, 7.32]",4,7.800637342898232,3.7951858865950125
Ball,Gaussian quantile,1500,101,15.0,29.32,"[7.3, 7.33, 7.24, 7.3]",72,6.59179713646768,4.1846037855727225
Ball,Gaussian quantile,1500,101,150.0,30.01,"[7.54, 7.65, 7.36, 7.32]",1120,5.655272803515785,3.6681865054760654
Grid,Noisy circle,10000,101,0,30.19,"[7.61, 7.45, 7.48, 7.41]",8,1.5759149789410283,0.8282103134331563
Ball,Noisy circle,10000,101,10.0,30.02,"[7.32, 7.46, 7.33, 7.67]",12,1.586814201267849,1.5340948265644587
Ball,Noisy circle,10000,101,100.0,29.82,"[7.43, 7.49, 7.3, 7.37]",102,1.5911468456554918,0.8484195294459271
Ball,Noisy circle,10000,101,1000.0,29.6,"[7.43, 7.3, 7.36, 7.28]",7838,1.6528942239994833,1.3062433805633298
Grid,Noisy moon,10000,101,0,29.87,"[7.54, 7.37, 7.37, 7.36]",5,2.186045321035683,0.6476434324503013
Ball,Noisy moon,10000,101,10.0,29.95,"[7.42, 7.5, 7.36, 7.41]",11,2.3085931676902423,1.0128599473303392
Ball,Noisy moon,10000,101,100.0,29.49,"[7.34, 7.26, 7.26, 7.39]",102,2.116567012446966,2.512808602130456
Ball,Noisy moon,10000,101,1000.0,29.74,"[7.52, 7.35, 7.3, 7.33]",5057,1.8476207183039106,2.2096123645334456
Grid,Blobs,10000,101,0,29.88,"[7.51, 7.39, 7.3, 7.45]",53,32.20997050422179,0.5354222921552281
Ball,Blobs,10000,101,10.0,29.97,"[7.33, 7.42, 7.65, 7.33]",11,36.95523109660141,22.50771007195519
Ball,Blobs,10000,101,100.0,29.66,"[7.36, 7.37, 7.37, 7.32]",344,33.15993833382162,30.098617881203637
Ball,Blobs,10000,101,1000.0,29.7,"[7.4, 7.37, 7.36, 7.34]",8542,32.63852154488877,11.863448283712067
Grid,Aniso,10000,101,0,30.01,"[7.57, 7.51, 7.33, 7.36]",51,8.38418353868968,7.587060720786871
Ball,Aniso,10000,101,10.0,29.51,"[7.4, 7.29, 7.29, 7.3]",11,11.054586573509363,5.1416430276896135
Ball,Aniso,10000,101,100.0,29.58,"[7.33, 7.36, 7.28, 7.38]",491,9.542514538344783,4.726207716205478
Ball,Aniso,10000,101,1000.0,29.54,"[7.36, 7.27, 7.31, 7.36]",9812,8.127081602284623,7.191750541254596
Grid,varied,10000,101,0,29.8,"[7.49, 7.39, 7.39, 7.31]",523,17.293505924701062,0.31086258698278413
Ball,varied,10000,101,10.0,29.44,"[7.33, 7.29, 7.25, 7.35]",20,23.921687423111816,10.94439806144782
Ball,varied,10000,101,100.0,29.51,"[7.28, 7.23, 7.32, 7.44]",1953,18.505173625686087,2.8327050565756267
Ball,varied,10000,101,1000.0,29.69,"[7.4, 7.28, 7.27, 7.49]",9302,17.162157390382223,14.280342216670965
Grid,Gaussian quantile,10000,101,0,29.46,"[7.44, 7.23, 7.21, 7.36]",336,4.146658953638375,2.5159330642870446
Ball,Gaussian quantile,10000,101,10.0,29.52,"[7.28, 7.26, 7.39, 7.37]",11,10.794573846900851,7.214467611399368
Ball,Gaussian quantile,10000,101,100.0,29.3,"[7.22, 7.26, 7.29, 7.3]",770,5.793659489020573,3.749475942027986
Ball,Gaussian quantile,10000,101,1000.0,29.53,"[7.36, 7.32, 7.35, 7.27]",9188,4.8822078678284315,1.8692642188353896
Grid,Noisy circle,1500,102,0,29.48,"[7.28, 7.33, 7.33, 7.4]",39,1.1367772970336079,1.368140837993053
Ball,Noisy circle,1500,102,1.5,29.65,"[7.31, 7.37, 7.36, 7.45]",7,1.8461481022659445,1.167179359562231
Ball,Noisy circle,1500,102,15.0,29.41,"[7.31, 7.24, 7.34, 7.37]",16,1.505068537701154,0.4918243052035816
Ball,Noisy circle,1500,102,150.0,29.14,"[7.22, 7.26, 7.28, 7.23]",889,1.4092547112187563,0.5819053978378635
Grid,Noisy moon,1500,102,0,29.4,"[7.28, 7.26, 7.4, 7.29]",19,1.6774544387834929,0.18598940499919114
Ball,Noisy moon,1500,102,1.5,29.85,"[7.32, 7.3, 7.3, 7.25]",6,2.309232135469852,1.4196565163175312
Ball,Noisy moon,1500,102,15.0,29.15,"[7.22, 7.24, 7.28, 7.25]",19,2.096149559069781,2.462412383581557
Ball,Noisy moon,1500,102,150.0,29.38,"[7.35, 7.27, 7.33, 7.27]",753,2.0322121239863917,0.5776125144135967
Grid,Blobs,1500,102,0,29.67,"[7.46, 7.32, 7.29, 7.44]",169,32.31700956203866,32.69434301354269
Ball,Blobs,1500,102,1.5,28.98,"[7.16, 7.25, 7.11, 7.29]",4,38.18991169786687,36.10017510618029
Ball,Blobs,1500,102,15.0,29.47,"[7.43, 7.3, 7.29, 7.28]",52,33.53772262032947,1.38734005058543
Ball,Blobs,1500,102,150.0,29.25,"[7.32, 7.28, 7.27, 7.23]",942,32.931302789050434,12.505670553224412
Grid,Aniso,1500,102,0,29.47,"[7.39, 7.45, 7.21, 7.26]",124,8.186285966097055,7.372432587910472
Ball,Aniso,1500,102,1.5,29.34,"[7.34, 7.3, 7.23, 7.33]",7,11.779539464356716,8.2596114522314
Ball,Aniso,1500,102,15.0,29.26,"[7.46, 7.19, 7.21, 7.24]",47,12.316964151085537,11.254845169136871
Ball,Aniso,1500,102,150.0,29.23,"[7.22, 7.26, 7.22, 7.38]",1479,11.043404537627017,5.357422872211054
Grid,varied,1500,102,0,29.18,"[7.33, 7.2, 7.23, 7.28]",432,16.936406467620724,16.93421001080674
Ball,varied,1500,102,1.5,29.34,"[7.41, 7.15, 7.4, 7.23]",6,25.01526153132488,12.966799912827293
