SamplingMethod,DatasetType,NrOfPoints,Seed,SampleSize,TotalTime,RoundTimes,CoresetSize,AvgQuality,NormQuality
Ball,Aniso,10000,102,1000.0,29.53,"[7.39, 7.38, 7.36, 7.17]",9143,7.942133786618281,6.640305788618872
Grid,varied,10000,102,0,29.48,"[7.37, 7.3, 7.3, 7.27]",779,17.17069945615131,9.35609567939902
Ball,varied,10000,102,10.0,29.25,"[7.28, 7.33, 7.17, 7.22]",21,20.80129966837276,10.083861884790391
Ball,varied,10000,102,100.0,29.47,"[7.3, 7.29, 7.34, 7.3]",2251,18.067541054808164,12.108934956844331
Ball,varied,10000,102,1000.0,29.58,"[7.24, 7.4, 7.31, 7.38]",10000,17.612079981617104,14.487132896039796
Grid,Gaussian quantile,10000,102,0,29.3,"[7.33, 7.22, 7.23, 7.28]",225,4.141558052325014,2.5561651147990325
Ball,Gaussian quantile,10000,102,10.0,29.44,"[7.28, 7.37, 7.45, 7.09]",11,8.219265876611411,5.242642021160746
Ball,Gaussian quantile,10000,102,100.0,29.25,"[7.26, 7.31, 7.29, 7.15]",437,6.766575952406602,4.0413905346832895
Ball,Gaussian quantile,10000,102,1000.0,29.45,"[7.39, 7.26, 7.3, 7.25]",8142,5.156385998475078,3.246017629008727
Grid,Noisy circle,1500,105,0,29.45,"[7.32, 7.38, 7.4, 7.17]",42,1.3453153135057163,0.7415249987282266
Ball,Noisy circle,1500,105,1.5,29.3,"[7.38, 7.27, 7.26, 7.23]",6,1.979936139168792,1.705224427183458
Ball,Noisy circle,1500,105,15.0,29.18,"[7.36, 7.22, 7.19, 7.25]",24,1.7276675614460892,1.342536297769725
Ball,Noisy circle,1500,105,150.0,29.37,"[7.35, 7.24, 7.33, 7.3]",916,1.2562980755990802,0.24552232868623572
Grid,Noisy moon,1500,105,0,29.28,"[7.32, 7.3, 7.3, 7.2]",21,1.6559035356306797,2.248564587383609
Ball,Noisy moon,1500,105,1.5,29.22,"[7.32, 7.26, 7.21, 7.28]",6,2.3592269555403083,0.8324623827917119
Ball,Noisy moon,1500,105,15.0,29.19,"[7.3, 7.29, 7.21, 7.24]",18,2.298068821300431,0.6789716904156099
Ball,Noisy moon,1500,105,150.0,29.01,"[7.27, 7.29, 7.11, 7.19]",886,1.7665513165020306,0.36828985021650773
Grid,Blobs,1500,105,0,29.45,"[7.42, 7.26, 7.27, 7.34]",155,32.262747616282354,0.19346994575600934
Ball,Blobs,1500,105,1.5,30.18,"[7.26, 7.67, 7.51, 7.6]",3,35.963514894776644,28.65304804885341
Ball,Blobs,1500,105,15.0,35.96,"[7.6, 8.38, 7.96, 11.87]",110,33.42847964789495,24.053352618768802
Ball,Blobs,1500,105,150.0,35.96,"[9.3, 8.9, 9.37, 8.19]",886,33.51424681147597,30.64885757049675
Grid,Aniso,1500,105,0,41.34,"[11.99, 10.56, 9.7, 8.94]",129,8.350528730948847,7.501139190699447
Ball,Aniso,1500,105,1.5,37.22,"[9.1, 8.64, 7.89, 11.42]",4,9.351277529048266,4.966211861487962
Ball,Aniso,1500,105,15.0,35.5,"[8.75, 10.43, 7.92, 8.23]",79,11.748799798261794,9.40407619310959
Ball,Aniso,1500,105,150.0,32.11,"[8.48, 7.65, 8.11, 7.73]",1237,11.534944372109402,10.696371256393114
Grid,varied,1500,105,0,30.57,"[8.16, 7.61, 7.36, 7.27]",442,16.891357277081877,15.18632759575518
Ball,varied,1500,105,1.5,29.39,"[7.39, 7.29, 7.28, 7.27]",6,22.30816062666611,19.59295478630221
Ball,varied,1500,105,15.0,29.47,"[7.33, 7.33, 7.39, 7.25]",288,18.431647430256607,15.890496240843877
Ball,varied,1500,105,150.0,29.53,"[7.35, 7.35, 7.36, 7.33]",1486,17.251674912128546,15.428623415240786
Grid,Gaussian quantile,1500,105,0,29.72,"[7.4, 7.59, 7.34, 7.25]",299,3.6697515841066743,2.56585957952363
Ball,Gaussian quantile,1500,105,1.5,29.72,"[7.38, 7.52, 7.36, 7.32]",3,6.685652788671159,4.886868782158632
Ball,Gaussian quantile,1500,105,15.0,29.43,"[7.33, 7.33, 7.29, 7.34]",45,7.869643612904849,5.195223770649223
Ball,Gaussian quantile,1500,105,150.0,29.53,"[7.37, 7.38, 7.38, 7.26]",1286,6.223495547615079,3.743841372155403
Grid,Aniso,1500,100,0,53.98,"[9.94, 8.82, 9.06, 10.1]",139,8.132333535972881,0.3147884258608958
Ball,Aniso,1500,100,1.5,34.93,"[9.29, 9.07, 8.4, 7.92]",3,8.362607943225624,6.7668615807693975
Ball,Aniso,1500,100,15.0,32.01,"[8.06, 7.92, 7.99, 7.83]",55,9.39011172018434,7.5104084622270895
Ball,Aniso,1500,100,150.0,31.71,"[7.87, 7.82, 7.83, 7.94]",1434,8.694072819263,7.210241885345525
Grid,Aniso,10000,100,0,32.09,"[8.12, 7.88, 7.87, 7.96]",49,7.921882351578993,5.385746539568888
Ball,Aniso,10000,100,10.0,32.53,"[8.2, 8.07, 8.08, 7.92]",11,12.57052130282163,3.3742595399547595
Ball,Aniso,10000,100,100.0,33.04,"[8.18, 8.21, 8.23, 8.16]",463,9.307006514520962,8.941611990155426
Ball,Aniso,10000,100,1000.0,34.2,"[8.35, 8.94, 8.5, 8.16]",9210,9.645619617259193,7.936251120483878
Grid,Noisy circle,50000,100,0,34.2,"[8.67, 8.08, 8.11, 8.62]",3,2.0185264809065746,0.8962493093524448
Ball,Noisy circle,50000,100,50.0,34.0,"[8.55, 8.35, 8.14, 8.28]",51,1.5986763978114844,1.6462346024878778
Ball,Noisy circle,50000,100,500.0,35.38,"[8.39, 8.48, 9.4, 8.41]",1002,1.5845518550239006,0.6210996581718072
Ball,Noisy circle,50000,100,5000.0,34.88,"[8.16, 8.39, 8.51, 9.15]",29364,1.449723498288009,0.38051831684067033
Grid,Noisy moon,50000,100,0,37.36,"[9.86, 9.4, 8.44, 8.77]",3,2.4910493352358385,2.432155105460742
Ball,Noisy moon,50000,100,50.0,35.28,"[8.89, 8.85, 8.62, 8.24]",51,2.1303768006020487,0.7321355146441917
Ball,Noisy moon,50000,100,500.0,35.39,"[8.9, 8.44, 8.37, 9.0]",1005,2.1722071020067903,2.5857430676496813
Ball,Noisy moon,50000,100,5000.0,33.95,"[8.49, 8.37, 8.11, 8.21]",45527,2.267025062153394,0.5350734333471787
Grid,Blobs,50000,100,0,34.47,"[8.7, 8.72, 8.3, 8.04]",10,34.417070895658206,30.235334080887583
Ball,Blobs,50000,100,50.0,34.23,"[8.32, 8.34, 8.41, 8.44]",52,33.82395608817792,29.43143698059236
Ball,Blobs,50000,100,500.0,34.42,"[8.59, 8.26, 8.3, 8.61]",1787,32.73003991398097,29.507293354176014
Ball,Blobs,50000,100,5000.0,34.8,"[8.23, 8.38, 8.42, 9.05]",42731,32.15847216222843,1.3007923249084992
Grid,Aniso,50000,100,0,34.23,"[8.54, 8.41, 8.51, 8.05]",11,9.347724702902001,4.3103261817312735
Ball,Aniso,50000,100,50.0,33.96,"[8.27, 8.42, 8.28, 8.31]",52,13.30357297122812,10.171738227712904
Ball,Aniso,50000,100,500.0,33.1,"[8.26, 7.95, 8.08, 8.14]",3352,8.619775989372743,7.8292934883472824
Ball,Aniso,50000,100,5000.0,35.02,"[8.57, 8.42, 8.63, 8.75]",46558,9.017819704281317,3.364306529514437
Grid,varied,50000,100,0,34.71,"[8.72, 8.34, 8.5, 8.43]",412,17.154984605396702,9.442761357385919
Ball,varied,50000,100,50.0,33.82,"[8.41, 8.35, 8.3, 8.05]",264,19.91523045149391,14.859352701905841
Ball,varied,50000,100,500.0,34.0,"[8.24, 8.33, 8.49, 8.2]",15826,18.46173115006362,3.05941820877056
Ball,varied,50000,100,5000.0,34.46,"[8.41, 8.7, 8.16, 8.42]",50000,16.872499132778707,14.534126888879653
Grid,Gaussian quantile,50000,100,0,34.27,"[8.52, 8.27, 8.44, 8.35]",99,4.261933376368375,2.5659833002236074
Ball,Gaussian quantile,50000,100,50.0,34.48,"[8.69, 8.49, 8.27, 8.35]",51,6.097183858566169,3.6021777065769283
Ball,Gaussian quantile,50000,100,500.0,34.43,"[8.53, 8.35, 8.55, 8.31]",3708,5.510798039046144,3.5689883885738407
Ball,Gaussian quantile,50000,100,5000.0,33.83,"[8.31, 8.21, 8.22, 8.43]",45686,4.963046172959484,2.154017531766179
Grid,Aniso,1500,101,0,33.3,"[8.48, 8.09, 8.12, 8.43]",142,8.005051634211876,3.213949081673387
Ball,Aniso,1500,101,1.5,33.38,"[8.2, 8.39, 8.5, 8.1]",7,10.53517934244917,9.53425461864937
Ball,Aniso,1500,101,15.0,33.2,"[8.2, 8.1, 8.35, 8.39]",100,11.476841613989036,8.852599674064013
Ball,Aniso,1500,101,150.0,35.02,"[8.3, 8.41, 7.91, 10.23]",1293,8.754519376395828,8.261123556573699
Grid,Aniso,10000,101,0,34.16,"[9.52, 8.88, 7.68, 7.69]",57,8.357021115322473,8.31025001629849
Ball,Aniso,10000,101,10.0,30.92,"[7.72, 7.61, 7.64, 7.71]",11,9.522848179335202,7.056221613955901
Ball,Aniso,10000,101,100.0,30.5,"[7.56, 7.6, 7.51, 7.57]",452,11.162193837916776,10.193240104859962
Ball,Aniso,10000,101,1000.0,30.63,"[7.79, 7.45, 7.56, 7.59]",9149,9.017530260192247,0.9228024539093537
Grid,Noisy circle,50000,101,0,31.21,"[7.92, 7.71, 7.42, 7.5]",5,2.1504200826306112,1.8466206827516651
Ball,Noisy circle,50000,101,50.0,31.11,"[7.69, 7.68, 7.61, 7.48]",51,1.6199616057059187,1.7225973197108153
Ball,Noisy circle,50000,101,500.0,31.48,"[7.74, 7.71, 7.72, 7.66]",1000,1.4159047275039631,1.6106210977572422
Ball,Noisy circle,50000,101,5000.0,31.38,"[7.7, 7.57, 7.9, 7.52]",30547,1.2116947889590617,1.5094454354734417
Grid,Noisy moon,50000,101,0,30.96,"[7.75, 7.56, 7.46, 7.55]",3,2.2947594766077253,2.5184530271580843
Ball,Noisy moon,50000,101,50.0,31.45,"[7.83, 7.62, 7.52, 7.6]",51,2.105701599949317,0.7895867712428615
Ball,Noisy moon,50000,101,500.0,31.19,"[7.71, 7.58, 7.69, 7.57]",1000,1.73163641793767,2.196019079717178
Ball,Noisy moon,50000,101,5000.0,31.22,"[7.75, 7.49, 7.78, 7.54]",35855,2.0477064163296435,2.3977400374556708
Grid,Blobs,50000,101,0,31.11,"[7.78, 7.64, 7.46, 7.58]",11,34.28600563887199,3.4992387966757335
Ball,Blobs,50000,101,50.0,31.05,"[7.68, 7.66, 7.6, 7.46]",62,34.89732324062794,2.321912952054736
Ball,Blobs,50000,101,500.0,31.22,"[7.77, 7.69, 7.59, 7.5]",2508,32.763317851012694,29.53577786572345
Ball,Blobs,50000,101,5000.0,31.0,"[7.55, 7.58, 7.65, 7.64]",49197,32.75327681587508,28.75013127791878
Grid,Aniso,50000,101,0,31.38,"[8.04, 7.65, 7.47, 7.59]",8,10.00054770863408,7.5669750385388905
Ball,Aniso,50000,101,50.0,31.93,"[7.7, 8.37, 7.53, 7.69]",51,12.079188766187038,10.893610046329298
Ball,Aniso,50000,101,500.0,32.36,"[7.69, 7.71, 7.56, 8.75]",3515,10.941218601391649,9.35713587238362
Ball,Aniso,50000,101,5000.0,31.84,"[7.82, 7.87, 7.76, 7.77]",42358,9.672798371136215,5.714433308979843
Grid,varied,50000,101,0,31.7,"[7.8, 7.9, 7.62, 7.73]",489,17.15073021335866,9.966846242875235
Ball,varied,50000,101,50.0,31.89,"[7.74, 7.75, 8.14, 7.61]",214,21.65494712807919,14.117812868522014
Ball,varied,50000,101,500.0,31.35,"[7.82, 7.64, 7.68, 7.57]",13529,17.743978333629475,11.803864767613025
Ball,varied,50000,101,5000.0,31.23,"[7.71, 7.59, 7.57, 7.71]",50000,17.37026071861578,4.073008434537637
Grid,Gaussian quantile,50000,101,0,31.53,"[7.73, 7.83, 7.75, 7.6]",119,4.643479375113778,3.981909057998825
Ball,Gaussian quantile,50000,101,50.0,31.13,"[7.61, 7.59, 7.68, 7.6]",55,6.308726570401678,3.7098710633626557
Ball,Gaussian quantile,50000,101,500.0,31.17,"[7.56, 7.73, 7.73, 7.52]",5191,5.637738393289826,1.888365081739956
Ball,Gaussian quantile,50000,101,5000.0,31.48,"[7.77, 7.79, 7.71, 7.54]",45925,4.814470235025774,3.15663213734652
Grid,Aniso,1500,102,0,30.48,"[7.64, 7.52, 7.51, 7.66]",130,8.165096809923957,3.2374336828612478
Ball,Aniso,1500,102,1.5,30.38,"[7.6, 7.5, 7.62, 7.52]",4,18.63128446909664,11.524120948246019
Ball,Aniso,1500,102,15.0,30.58,"[7.66, 7.54, 7.63, 7.6]",60,11.137487225927385,2.3697986542931644
Ball,Aniso,1500,102,150.0,30.97,"[7.97, 7.75, 7.42, 7.67]",1340,8.63485984309521,3.860445852511846
Grid,Aniso,10000,102,0,30.55,"[7.68, 7.6, 7.61, 7.43]",56,8.416352986698216,5.6412428783967945
Ball,Aniso,10000,102,10.0,30.66,"[7.57, 7.84, 7.49, 7.53]",11,9.996500633866859,4.258715429878975
Ball,Aniso,10000,102,100.0,30.38,"[7.52, 7.57, 7.57, 7.48]",507,9.71863675774725,4.663629715749558
Ball,Aniso,10000,102,1000.0,31.02,"[7.75, 7.91, 7.67, 7.46]",9409,8.927924091067782,7.733579408086931
Grid,Noisy circle,50000,102,0,31.31,"[7.74, 7.69, 7.59, 7.64]",4,2.113828429850971,0.9428734424231615
Ball,Noisy circle,50000,102,50.0,31.08,"[7.74, 7.64, 7.57, 7.5]",51,1.5329667826842743,1.450100890195396
Ball,Noisy circle,50000,102,500.0,31.26,"[7.64, 7.55, 7.6, 7.84]",925,1.5393189662598625,0.8854063262686261
Ball,Noisy circle,50000,102,5000.0,31.02,"[7.72, 7.56, 7.53, 7.6]",37425,1.5231291456706928,1.1434730970614897
Grid,Noisy moon,50000,102,0,31.48,"[7.83, 7.7, 7.64, 7.59]",4,2.1673360048694987,0.5692256575713117
Ball,Noisy moon,50000,102,50.0,30.95,"[7.73, 7.53, 7.51, 7.54]",51,2.0731342198770215,2.4480167010253853
Ball,Noisy moon,50000,102,500.0,31.26,"[7.71, 7.62, 7.74, 7.56]",1000,1.8439136830409053,0.320644780126443
Ball,Noisy moon,50000,102,5000.0,31.33,"[7.58, 7.74, 7.84, 7.54]",37385,2.0020355082430084,2.247309897126541
Grid,Blobs,50000,102,0,31.44,"[7.85, 7.8, 7.55, 7.6]",9,38.69659139430234,5.736327596824617
Ball,Blobs,50000,102,50.0,31.13,"[7.81, 7.54, 7.52, 7.62]",106,34.93258610853083,2.52814976370044
Ball,Blobs,50000,102,500.0,31.68,"[7.67, 7.91, 7.69, 7.74]",2138,33.80117691228113,33.30924610684687
Ball,Blobs,50000,102,5000.0,31.54,"[7.79, 7.84, 7.62, 7.66]",41094,32.15623662287744,29.53103257735537
Grid,Aniso,50000,102,0,32.13,"[8.41, 7.99, 7.49, 7.56]",20,9.375843176459416,1.6944395935331553
Ball,Aniso,50000,102,50.0,31.6,"[7.77, 7.62, 7.68, 7.83]",52,12.60967566213238,10.342531505759156
Ball,Aniso,50000,102,500.0,31.15,"[7.64, 7.54, 7.71, 7.61]",2830,10.506315164378952,6.572703012833858
Ball,Aniso,50000,102,5000.0,31.54,"[7.78, 7.67, 7.62, 7.83]",50000,10.119855317056102,8.121345546246383
Grid,varied,50000,102,0,31.46,"[7.87, 7.82, 7.56, 7.53]",347,16.98311153118721,15.111959443078645
Ball,varied,50000,102,50.0,30.94,"[7.61, 7.51, 7.66, 7.45]",255,21.666479396784926,5.013432634721202
Ball,varied,50000,102,500.0,31.14,"[7.64, 7.6, 7.7, 7.55]",13837,17.80866986542494,14.422638826367715
Ball,varied,50000,102,5000.0,31.77,"[7.73, 7.9, 7.84, 7.67]",50000,17.69319138514619,10.65317707375877
Grid,Gaussian quantile,50000,102,0,31.59,"[7.87, 7.62, 7.77, 7.64]",84,4.323002700734426,0.821208200167077
Ball,Gaussian quantile,50000,102,50.0,31.22,"[7.86, 7.61, 7.49, 7.64]",67,7.0265224089807985,5.071792779187435
Ball,Gaussian quantile,50000,102,500.0,31.32,"[7.62, 7.75, 7.66, 7.65]",5091,5.4404358486349365,4.496583121853719
Ball,Gaussian quantile,50000,102,5000.0,31.35,"[7.7, 7.66, 7.69, 7.67]",45556,5.145655072752423,3.0383720462614963
Grid,Aniso,1500,105,0,30.98,"[7.68, 7.61, 7.63, 7.9]",119,8.138756328249356,7.362546721025814
Ball,Aniso,1500,105,1.5,30.42,"[7.51, 7.56, 7.61, 7.6]",3,12.286256731851,7.999010934174131
Ball,Aniso,1500,105,15.0,30.68,"[7.53, 7.59, 7.55, 7.85]",56,12.237071824312636,9.99033096040679
Ball,Aniso,1500,105,150.0,30.54,"[7.7, 7.56, 7.61, 7.53]",1311,11.382591234741122,9.195453996918863
Grid,Aniso,10000,105,0,31.15,"[7.71, 7.74, 7.84, 7.62]",47,8.75171718273972,5.70986018277231
Ball,Aniso,10000,105,10.0,30.52,"[7.75, 7.49, 7.52, 7.53]",11,10.506032222297186,8.729865836171907
Ball,Aniso,10000,105,100.0,30.62,"[7.51, 7.49, 7.82, 7.58]",454,11.71639553526546,8.665479888813314
Ball,Aniso,10000,105,1000.0,30.79,"[7.62, 7.46, 7.67, 7.82]",7491,8.84531112338235,7.83681384764958
Grid,Noisy circle,50000,105,0,31.4,"[7.96, 7.66, 7.57, 7.54]",4,1.7614645192137641,0.7759796001419481
Ball,Noisy circle,50000,105,50.0,30.97,"[7.65, 7.65, 7.54, 7.5]",51,1.5453196336151893,0.5121342429121916
Ball,Noisy circle,50000,105,500.0,31.22,"[7.59, 7.89, 7.54, 7.59]",1000,1.6901593032608042,0.7712249125922108
Ball,Noisy circle,50000,105,5000.0,31.89,"[7.76, 7.86, 7.63, 7.98]",33186,1.3317267414925171,1.2238123313657459
Grid,Noisy moon,50000,105,0,31.38,"[7.85, 7.58, 7.67, 7.6]",3,1.9547923011090367,0.8675793457891608
Ball,Noisy moon,50000,105,50.0,31.2,"[7.64, 7.6, 7.59, 7.72]",53,2.3418273818244195,2.4060905881091093
Ball,Noisy moon,50000,105,500.0,31.3,"[7.75, 7.64, 7.61, 7.64]",1000,1.6727196123300803,2.1144594580678975
Ball,Noisy moon,50000,105,5000.0,31.49,"[7.65, 7.78, 7.68, 7.75]",34083,1.770801634551855,0.1994652182472476
Grid,Blobs,50000,105,0,31.42,"[7.86, 7.77, 7.49, 7.63]",14,33.2923496179959,29.43350235891706
Ball,Blobs,50000,105,50.0,31.29,"[7.72, 7.57, 7.73, 7.6]",98,34.105848267280074,30.500108528207623
Ball,Blobs,50000,105,500.0,31.42,"[7.75, 7.62, 7.66, 7.72]",1784,33.85350776921416,1.437830472445227
Ball,Blobs,50000,105,5000.0,31.4,"[7.74, 7.6, 7.7, 7.74]",49460,32.85842289508267,1.0311725475069218
Grid,Aniso,50000,105,0,31.67,"[7.94, 7.72, 7.75, 7.61]",16,11.083547633200936,5.355747160873373
Ball,Aniso,50000,105,50.0,31.81,"[7.63, 7.59, 7.7, 7.58]",51,9.40809741838393,4.328544768614213
Ball,Aniso,50000,105,500.0,31.08,"[7.74, 7.69, 7.57, 7.42]",2909,10.497976592888847,9.810715885042933
Ball,Aniso,50000,105,5000.0,31.35,"[7.68, 7.68, 7.59, 7.73]",44728,8.823853126824849,8.48700513574451
Grid,varied,50000,105,0,32.86,"[7.82, 8.25, 8.0, 8.13]",352,17.25479175388042,0.3217630215279599
Ball,varied,50000,105,50.0,33.88,"[7.99, 8.78, 7.67, 8.76]",253,19.16170118653454,10.63218680656278
Ball,varied,50000,105,500.0,47.7,"[10.81, 14.51, 11.1, 10.51]",15495,17.706353936166526,13.582541030756632
Ball,varied,50000,105,5000.0,41.35,"[9.6, 11.06, 10.57, 9.36]",50000,17.634443279417685,4.183561579995767
Grid,Gaussian quantile,50000,105,0,36.79,"[10.03, 9.0, 8.33, 8.67]",90,4.280097876987107,2.219468063832387
Ball,Gaussian quantile,50000,105,50.0,38.61,"[9.37, 8.25, 10.27, 9.99]",51,7.621744579821385,5.890996973051206
Ball,Gaussian quantile,50000,105,500.0,40.09,"[9.38, 9.81, 9.84, 10.28]",4202,5.502328252268694,2.7514866576581816
Ball,Gaussian quantile,50000,105,5000.0,36.54,"[8.71, 9.37, 9.04, 8.71]",46732,4.89134368094659,3.1488171931143443
Grid,Aniso,1500,106,0,35.89,"[8.53, 8.46, 9.76, 8.96]",115,8.100233583648542,0.32559744046994654
Ball,Aniso,1500,106,1.5,33.38,"[8.17, 8.32, 8.18, 8.54]",3,12.57898673443868,9.865858660879255
Ball,Aniso,1500,106,15.0,32.19,"[8.34, 7.94, 7.88, 7.87]",69,8.842262841541732,8.283193224897323
Ball,Aniso,1500,106,150.0,32.02,"[8.06, 7.97, 7.94, 7.89]",1382,9.884902884924035,8.493278355945641
Grid,Aniso,10000,106,0,37.49,"[10.34, 9.82, 8.58, 8.46]",52,9.046743486017629,3.6829096016101435
Ball,Aniso,10000,106,10.0,32.98,"[8.26, 8.01, 8.05, 8.43]",12,11.846757393009101,10.663741928566026
Ball,Aniso,10000,106,100.0,33.71,"[8.65, 8.51, 8.09, 8.22]",589,8.363040479451806,7.495148402295891
Ball,Aniso,10000,106,1000.0,35.18,"[8.48, 8.01, 8.31, 10.16]",10000,8.799374218321123,8.544131975396779
Grid,Noisy circle,50000,106,0,36.97,"[9.38, 9.94, 8.71, 8.21]",3,2.308891578052998,1.040338731670033
Ball,Noisy circle,50000,106,50.0,34.14,"[8.42, 8.41, 8.1, 8.48]",51,1.7174092543056094,0.8673081049961839
Ball,Noisy circle,50000,106,500.0,34.2,"[8.52, 8.34, 8.44, 8.2]",501,1.509944667207217,1.4281436726775871
Ball,Noisy circle,50000,106,5000.0,35.82,"[8.91, 9.34, 8.44, 8.47]",31669,1.490270117549384,1.1819693754522285
Grid,Noisy moon,50000,106,0,34.59,"[8.48, 8.54, 8.24, 8.53]",4,2.200922440732526,0.5341611848749966
Ball,Noisy moon,50000,106,50.0,33.25,"[8.0, 7.92, 8.12, 8.5]",51,1.9262838759199377,0.4917976247327981
Ball,Noisy moon,50000,106,500.0,34.41,"[8.53, 8.43, 8.54, 8.2]",506,2.0897671180651796,0.6779073922814625
Ball,Noisy moon,50000,106,5000.0,34.54,"[8.85, 8.0, 8.69, 8.35]",29343,1.903257437916067,2.261893067699855
Grid,Blobs,50000,106,0,34.16,"[8.25, 8.74, 8.38, 8.07]",12,37.12954534407273,4.289928976933205
Ball,Blobs,50000,106,50.0,34.72,"[8.32, 8.11, 8.54, 9.03]",79,34.5922728212726,14.228039566827668
Ball,Blobs,50000,106,500.0,35.51,"[9.33, 8.97, 8.18, 8.3]",1939,33.15426791196263,1.1360097939997376
Ball,Blobs,50000,106,5000.0,34.04,"[8.35, 8.6, 8.2, 8.22]",46592,32.438341867708246,12.581400142362815
Grid,Aniso,50000,106,0,33.26,"[8.28, 8.23, 7.96, 8.09]",17,9.18244072065327,6.232887176117064
Ball,Aniso,50000,106,50.0,34.76,"[8.7, 8.49, 8.61, 8.28]",53,9.522007089235235,7.314727566266794
Ball,Aniso,50000,106,500.0,34.16,"[8.19, 8.19, 8.24, 8.85]",3037,9.71277457582586,5.488833319718705
Ball,Aniso,50000,106,5000.0,34.82,"[9.02, 8.33, 8.28, 8.51]",46639,9.297735162379437,7.731011000150877
Grid,varied,50000,106,0,37.8,"[9.6, 8.74, 9.6, 9.07]",643,17.204461928299292,15.405533974145685
Ball,varied,50000,106,50.0,37.39,"[9.05, 9.24, 9.46, 8.97]",259,21.044449345817437,13.654213547216212
Ball,varied,50000,106,500.0,37.46,"[9.28, 9.31, 9.1, 9.05]",13807,18.183279401771447,14.686040154910001
Ball,varied,50000,106,5000.0,37.91,"[9.51, 8.62, 9.56, 9.48]",50000,17.573959802373142,13.874948400076748
Grid,Gaussian quantile,50000,106,0,37.83,"[9.3, 9.18, 9.39, 9.28]",137,4.306145374587646,1.9310408794561948
Ball,Gaussian quantile,50000,106,50.0,35.96,"[8.74, 8.53, 9.15, 8.8]",51,6.9012269343831845,4.275787956822647
Ball,Gaussian quantile,50000,106,500.0,36.87,"[8.76, 8.83, 10.12, 8.45]",4770,5.444923129442317,4.456051399315167
Ball,Gaussian quantile,50000,106,5000.0,36.18,"[8.15, 9.17, 9.45, 8.74]",46974,4.924387873360703,0.8987487138345376
